Parcelamento
"30/60 DD acima de R$ 600,00"
"30/60/90 DD acima de R$ 900,00"
"30/60/90/120 DD acima de R$ 1.200,00"
Código,Orig.,Descrição,R$,Sit.,Larg.,Und.,G/ml,NCM,Catálogo,Acabamento
02831,Nac.,SARJA PELETIZADA BESS,"51,38",,"1,60",MET,448,52093200,S 07,PELETIZADO
02832,Imp.,RESUEDE 25,"248,40",,"1,42",MET,350,54075210,T 37 EASY CLEAN III,EASY CLEAN
02833,Imp.,BAROLO 25,"213,96",,"1,42",MET,511,58013600,T 37 EASY CLEAN III,EASY CLEAN
02834,Imp.,TRAME 25,"213,96",,"1,42",MET,610,58013600,T 37 EASY CLEAN III,EASY CLEAN
02835,Imp.,NATIVO 02,"134,93",,"1,44",MET,648,58013600,T 37 EASY CLEAN III,EASY CLEAN
02836,Imp.,BELLAGIO 100,"196,51",,"1,45",MET,551,54075300,T 37 EASY CLEAN III,EASY CLEAN
02837,Imp.,OGGI 25,"118,52",,"1,42",MET,468,54075210,T 37 EASY CLEAN III,EASY CLEAN
02838,Imp.,VERO 25,"153,12",,"1,42",MET,497,60019200,T 37 EASY CLEAN III,EASY CLEAN
02838,Imp.,VERO 59,"153,12",,"1,42",MET,497,60019200,T 37 EASY CLEAN III,EASY CLEAN
02838,Imp.,VERO 16,"153,12",,"1,42",MET,497,60019200,T 37 EASY CLEAN III,EASY CLEAN
02839,Imp.,PRIMO 02,"90,93",,"1,42",MET,290,54075300,T 37 EASY CLEAN III,EASY CLEAN
02840,Imp.,PIAVE 02,"135,00",,"1,42",MET,525,54075210,T 37 EASY CLEAN III,EASY CLEAN
02841,Imp.,ORO 25,"190,92",,"1,42",MET,624,58013600,T 37 EASY CLEAN III,EASY CLEAN
02842,Nac.,ALGODÃO NANCY,"91,00",,"1,40",MET,376,52094100,T 36 ELEGANCE,PRÉ ENCOLHIDO
02843,Nac.,ALGODÃO NICE,"113,13",,"1,40",MET,376,52094100,T 36 ELEGANCE,PRÉ ENCOLHIDO
02844,Nac.,ALGODÃO DIJON,"113,13",,"1,40",MET,376,52094290,T 36 ELEGANCE,PRÉ ENCOLHIDO
02845,Nac.,SARJA LILLE CRU,"131,57",,"1,40",MET,425,52094300,T 36 ELEGANCE,PRÉ ENCOLHIDO
02846,Nac.,RUSTICO NIMES AZUL REI,"128,79",,"1,40",MET,425,52094300,T 36 ELEGANCE,PRÉ ENCOLHIDO
02847,Nac.,RUSTICO TOULOUSE CRU,"150,02",,"1,40",MET,506,52094290,T 36 ELEGANCE,PRÉ ENCOLHIDO
02848,Nac.,LISTADO LA ROCHELLE,"117,42",,"1,40",MET,398,52094100,T 36 ELEGANCE,PRÉ ENCOLHIDO
02849,Nac.,LISTADO  GRENOBLE,"103,30",,"1,40",MET,383,52094100,T 36 ELEGANCE,PRÉ ENCOLHIDO
02850,Nac.,LISTAS REMIS,"109,13",,"1,40",MET,376,52094100,T 36 ELEGANCE,PRÉ ENCOLHIDO
02851,Nac.,XADREZ PARIS,"112,20",,"1,40",MET,378,52094100,T 36 ELEGANCE,PRÉ ENCOLHIDO
02852,Nac.,CHEVRON REVILLE,"117,74",,"1,40",MET,378,52094300,T 36 ELEGANCE,PRÉ ENCOLHIDO
02853,Imp.,BLACK OUT INDONESIA,"122,61",,"2,80",MET,1098,59070000,C 11 2026 GENTILE,
02854,Nac.,PIED POULE VERSALHES ROSA BLUSH FB,"123,89",,"1,40",MET,425,52094300,T 36 ELEGANCE,PRÉ ENCOLHIDO
02855,Nac.,PIED POULE VERSALHES ROSA BLUSH,"130,33",,"1,40",MET,425,52094300,T 36 ELEGANCE,PRÉ ENCOLHIDO
02856,Nac.,RISCAS SANIT GERMAN,"131,86",,"1,40",MET,425,52094300,T 36 ELEGANCE,PRÉ ENCOLHIDO
02857,Nac.,RISCAS SANIT GERMAN,"121,10",,"1,40",MET,425,52094300,T 36 ELEGANCE,PRÉ ENCOLHIDO
02858,Imp.,VALENCIA,"85,75",,"1,40",MET,410,54079300,T 40 ATLAS,EASY CLEAN
02859,Imp.,BARCELONA,"102,11",,"1,40",MET,390,54079300,T 40 ATLAS,EASY CLEAN
Código,Orig.,Descrição,R$,Sit.,Larg.,Und.,G/ml,NCM,Catálogo,Acabamento
02861,Imp.,MALAGÁ,"94,34",,"1,40",MET,410,54079300,T 40 ATLAS,EASY CLEAN
02862,Imp.,CORDOBA,"75,41",,"1,40",MET,350,58013600,T 40 ATLAS,EASY CLEAN
02863,Imp.,"LINHO ARIAM 3,30","46,27",,"3,30",MET,330,55151200,2812 ARIAM,
02864,Imp.,"GAZE LIGHT 3,30","33,01",,"3,30",MET,325,55151200,2731 HANGER GZ LIGHT,
02865,Imp.,LAGUNA,"84,36",,"1,50",MET,375,54075210,T 38 SOLARIUM,REPELENTE A LIQUIDOS
02866,Imp.,MALIBU,"84,36",,"1,50",MET,390,54075300,T 38 SOLARIUM,REPELENTE A LIQUIDOS
02867,Imp.,ATLANTIS,"84,36",,"1,50",MET,336,54075300,T 38 SOLARIUM,REPELENTE A LIQUIDOS
02868,Imp.,MAHO,"84,36",,"1,50",MET,336,54075300,T 38 SOLARIUM,REPELENTE A LIQUIDOS
02869,Imp.,LISBOA,"43,53",,"1,45",MET,450,54075210,T 40 ATLAS,
02870,Imp.,SANZIO,"135,11",,"1,40",MET,730,54075210,T 40 ATLAS,
02871,Imp.,MARROCOS,"42,07",,"1,42",MET,370,54075300,T 40 ATLAS,
02872,Imp.,MOSCOU,"150,02",,"1,42",MET,558,54076900,T 40 ATLAS,
02873,Imp.,BERLIM,"74,24",,"1,42",MET,460,60019200,T 40 ATLAS,REPELENTE A LIQUIDOS
02874,Imp.,TORONTO,"95,12",,"1,42",MET,504,60019200,T 40 ATLAS,REPELENTE A LIQUIDOS
02875,Imp.,HOLANDA,"74,24",,"1,42",MET,490,60019200,T 40 ATLAS,REPELENTE A LIQUIDOS
02876,Imp.,TURQUIA,"83,17",,"1,42",MET,450,54075300,T 40 ATLAS,REPELENTE A LIQUIDOS
02877,Imp.,ISTAMBUL,"56,19",,"1,42",MET,404,54075300,T 40 ATLAS,REPELENTE A LIQUIDOS
02878,Imp.,BANGKOK,"110,03",,"1,42",MET,520,60019200,T 40 ATLAS,REPELENTE A LIQUIDOS
02879,Imp.,BOUCLET VIENA,"81,58",,"1,42",MET,625,54075210,T 40 ATLAS,
02880,Imp.,OSLO,"54,26",,"1,45",MET,440,54075300,T 40 ATLAS,
02881,Imp.,TOQUIO,"54,13",,"1,45",MET,526,54075300,T 40 ATLAS,
02882,Imp.,TUCSON,"54,70",,"1,40",MET,700,59031000,T 40 ATLAS,
02883,Imp.,TEXAS,"54,70",,"1,40",MET,700,59031000,T 40 ATLAS,
02884 - 002,Imp.,GAZE LILY MARFIM,"49,38",SC,"3,00",MET,200,55151200,YA DEFINIR,
02885,Nac.,CROW I,"262,20",,"1,40",MET,706,54078300,HANGER CROWN,
02886,Nac.,CROW I I,"417,58",,"1,40",MET,1435,54078300,HANGER CROWN,
02887,Nac.,CROW I I I,"307,52",,"1,40",MET,1058,54078300,HANGER CROWN,
02888,Nac.,CROW I V,"352,84",,"1,40",MET,1224,54078300,HANGER CROWN,
02889,Nac.,CROW  V,"307,52",,"1,40",MET,1058,54078300,HANGER CROWN,
02890,Nac.,CROW  V I,"339,89",,"1,40",MET,1245,54078300,HANGER CROWN,
02891,Nac.,CROW  V I I,"339,89",,"1,40",MET,1245,54078300,HANGER CROWN,
02892 - 001,Imp.,MICRO FIBRA 90 GR,"22,00",SC,"3,00",MET,270,52114100,YA DEFINIR,
02892 - 002,Imp.,MICRO FIBRA 90 GR,"22,00",SC,"3,00",MET,270,52114100,YA DEFINIR,
02893,Nac.,BOUCLET SOLARIUM,"155,35",,"1,40",MET,594,54075210,T 38 SOLARIUM,HIDROREPELENTE
02894,Imp.,MICROFIBRA IMPERMEAVEL PARA PROTEGER ESPUMA,"28,94",,"1,42",MET,100,59032000,T 38 SOLARIUM,HIDROREPELENTE
02895,Imp.,RAIA OUT & IN,"163,65",,"1,50",MET,450,54075300,T 38 SOLARIUM,HIDROREPELENTE
02896,Imp.,ARIZONA IN & OUT,"146,13",,"1,50",MET,390,54075210,T 38 SOLARIUM,HIDROREPELENTE
Código,Orig.,Descrição,R$,Sit.,Larg.,Und.,G/ml,NCM,Catálogo,Acabamento
02899,Nac.,CROCHE MARGOT,"261,98",,"1,40",MET,797,53091100,C 09 2025,
02900,Nac.,CROCHE CHLOÉ,"199,81",,"1,40",MET,434,53091100,C 09 2025,
02901,Nac.,CROCHE EMILE,"199,81",,"1,40",MET,504,53091100,C 09 2025,
02902 - 001,Imp.,GAZE LIGHT II,"26,85",SC,"3,00",MET,295,55151200,2902 HANGER GAZE II,
02902 - 011,Imp.,GAZE LIGHT II,"26,85",SC,"3,00",MET,295,55151200,2902 HANGER GAZE II,
02902 - 014,Imp.,GAZE LIGHT II,"26,85",SC,"3,00",MET,295,55151200,2902 HANGER GAZE II,
02902 - 015,Imp.,GAZE LIGHT II,"26,85",SC,"3,00",MET,295,55151200,2902 HANGER GAZE II,
02903,Imp.,"GAZE RUSTICA BESS 3,30 LARGURA CRU","70,87",,"3,30",MET,676,54076100,C 11 2026 GENTILE,
02904,Imp.,"LINHO TRESSE 3,60 LARGURA","78,63",,"3,60",MET,676,54076100,C 11 2026 GENTILE,
02905,Imp.,TRAMA BARCELONA,"68,07",,"3,00",MET,555,54076100,C 11 2026 GENTILE,
02906,Imp.,"GAZE FLAT 3,60 LARGURA","57,09",,"3,60",MET,396,54076100,C 11 2026 GENTILE,
02907,Imp.,"CAMBRAIA 3,60 LARGURA","52,48",,"3,60",MET,360,54076100,C 11 2026 GENTILE,
02908,Imp.,VAZADO GENOVA CASCALHO,"77,02",,"2,80",MET,588,58042100,C 11 2026 GENTILE,
02909,Imp.,VAZADO BRUGES,"68,88",,"2,80",MET,560,58042100,C 11 2026 GENTILE,
02910,Imp.,CORTINA BOUCLET NAPOLES,"53,57",,"3,00",MET,435,54076100,C 11 2026 GENTILE,
02911,Imp.,VAZADO VERONA,"56,07",,"2,80",MET,588,54072100,C 11 2026 GENTILE,
02912,Imp.,MICRO FIBRA 100 GR,"22,48",,"3,00",MET,300,54075210,C 11 2026 GENTILE,
02913,Imp.,TELA GAZE OFF WHITE,"56,57",,"3,00",MET,580,54076100,C 11 2026 GENTILE,
02914,Imp.,TELA PISA,"69,26",,"3,00",MET,516,54076900,C 11 2026 GENTILE,
02915,Imp.,TENDAGGIO BRUSINO,"89,63",,"3,00",MET,600,54075210,TENDAGGIO,
02916,Imp.,TENDAGGIO RIVA,"157,88",,"3,00",MET,,58013600,TENDAGGIO,
02917,Imp.,TENDAGGIO TELA POLAVENO,"151,42",,"3,00",MET,930,"########",TENDAGGIO,
02918,Nac.,GIRO NOTOS,"251,51",,"3,40",MET,702,54075300,C 11 2026 GENTILE,PRÉ ENCOLHIDO
02919,Nac.,GIRO LEDRO,"218,89",,"3,40",MET,615,54075300,C 11 2026 GENTILE,PRÉ ENCOLHIDO
02920,Nac.,GIRO BOCCA DEL FORTINI ALVEJADO,"223,49",,"3,40",MET,450,54075300,C 11 2026 GENTILE,PRÉ ENCOLHIDO
02921,Nac.,GIRO MADRIPEROLA,"84,86",,"2,90",MET,220,52101100,C 11 2026 GENTILE,
02922,Nac.,GIRO LOLITA,"60,85",,"2,90",MET,342,52101100,C 11 2026 GENTILE,
02923,Nac.,GIRO MALAQUITA,"51,46",,"2,90",MET,168,52101100,C 11 2026 GENTILE,
02924,Nac.,GIRO AMBAR,"122,22",,"2,90",MET,368,52101100,C 11 2026 GENTILE,
02925,Imp.,FULL BLACK OUT SILICON,"69,75",,"2,80",MET,600,0,YA DEFINIR,
02926,Nac.,GIRO  TURQUEZA,"140,59",,"2,90",MET,429,55162300,C 11 2026 GENTILE,
02928,Nac.,GIRO SALTA II,"96,68",,"2,90",MET,780,52111100,C 11 2026 GENTILE,
02929,Nac.,LINHO MISTO ACACIA,"96,59",,"2,90",MET,348,55151900,C 11 2026 GENTILE,
02930,Nac.,LINHO MISTO WAIKIKI,"94,38",,"2,90",MET,348,52101990,C 11 2026 GENTILE,
02931,Nac.,LINHO MISTO LISTRADO PAINEIRA,"104,24",,"2,90",MET,437,52101990,C 11 2026 GENTILE,
02932,Nac.,LINHO MISTO LISTRADO HUROS,"103,10",,"2,90",MET,603,55151900,C 11 2026 GENTILE,
02933,Nac.,LINHO MISTO LISTRADO MIRAINE,"103,10",,"2,90",MET,585,55151900,C 11 2026 GENTILE,
Código,Orig.,Descrição,R$,Sit.,Larg.,Und.,G/ml,NCM,Catálogo,Acabamento
02935,Nac.,LINHO MISTO BURITI,"103,40",,"2,90",MET,437,55151900,C 11 2026 GENTILE,
02936,Nac.,ESTOCOLMO PREMIUM,"132,60",,"2,90",MET,382,55162300,C 11 2026 GENTILE,
02937,Imp.,LINHO BOUCLET NATURAL,"60,32",,"3,00",MET,420,54075300,C 11 2026 GENTILE,
02938,Imp.,LINHO BOTONE NATURAL,"48,20",,"3,00",MET,345,54075300,C 11 2026 GENTILE,
02938,Imp.,LINHO BOTONE AMENDOA,"48,20",,"3,00",MET,345,54075300,C 11 2026 GENTILE,
02939,Imp.,BLACK OUT RUSTICO 70%,"83,61",,"3,00",MET,900,54075300,C 11 2026 GENTILE,
02940,Imp.,BLACK OUT RUSTICO 70%,"74,10",,"3,00",MET,750,54075300,C 11 2026 GENTILE,
02941,Imp.,BLACK OUT RUSTICO 100%,"96,83",,"2,80",MET,840,54075300,C 11 2026 GENTILE,
02941,Imp.,BLACK OUT RUSTICO 100% PRATA,"96,83",,"2,80",MET,840,54075300,C 11 2026 GENTILE,
02942,Imp.,BLACK OUT RUSTICO 100%,"80,53",,"3,00",MET,705,54075300,C 11 2026 GENTILE,
02943,Imp.,BLACK OUT RUSTICO DUPLO 100%,"80,53",,"3,00",MET,735,54075300,C 11 2026 GENTILE,
02944,Imp.,BLACK OUT RUSTICO DUPLO 100%TAUPE,"80,53",,"3,00",MET,780,54075300,C 11 2026 GENTILE,
02945,Imp.,BLACK OUT ULTRA LIGHT,"38,84",,"2,80",MET,330,59032000,C 11 2026 GENTILE,
02946 - 002,Imp.,BLACK OUT RUSTICP ULTRA LIGHT,"64,10",SC,"2,80",MET,420,59032000,C 11 2026 GENTILE,
02946 - 003,Imp.,BLACK OUT RUSTICP ULTRA LIGHT,"64,10",SC,"2,80",MET,420,59032000,C 11 2026 GENTILE,
02947,Imp.,SHANTUNG LISO,"71,31",,"3,00",MET,600,55151200,C 11 2026 GENTILE,
02948,Imp.,TELA FISHNET,"61,16",,"3,00",MET,600,55151200,C 11 2026 GENTILE,
02949,Imp.,TELA FISHNET II PRATA,"61,16",,"3,00",MET,465,55151200,C 11 2026 GENTILE,
02950,Imp.,LINEN LOOK,"66,95",,"3,00",MET,465,54075300,C 11 2026 GENTILE,
02951,Imp.,TENDAGGIO VORGATO,"119,14",,"3,00",MET,930,54076900,TENDAGGIO,
02952,Nac.,SIDEGA TERRA NOVA,"184,20",,"1,40",MET,410,52091100,C 11 2026 GENTILE,
02953,Nac.,SIDEGA LABRADOR,"188,11",,"1,40",MET,490,52091100,C 11 2026 GENTILE,
02954,Nac.,SIDEGA NOVA ESCÓCIA,"193,98",,"1,40",MET,826,52091100,C 11 2026 GENTILE,
02955,Nac.,SIDEGA YUKON,"192,02",,"1,40",MET,490,52091100,C 11 2026 GENTILE,
02956,Nac.,SIDEGA MONTREAL,"193,00",,"1,40",MET,490,52091100,C 11 2026 GENTILE,
02957,Nac.,LONA STONE SANDED AND STEAMED 6% ENCOLHIMENT,"118,35",,"1,40",MET,730,52094900,S 07,PELETIZADO
02958,Nac.,SARJA SANDED AND STEAMED 6% ENCOLHIMENTO,"104,01",,"1,40",MET,668,52094900,S 07,LIXADA
02959,Imp.,AMORE MIO-25,"97,00",,"1,42",MET,330,58013600,T 41 A,EASY CLEAN
02960,Imp.,INCANTO MIO -25,"97,00",,"1,42",MET,404,60019200,T 41 A,EASY CLEAN
02961,Imp.,TESORO MIO -25,"97,00",,"1,45",MET,508,54075300,T 41 A,EASY CLEAN
02962,Imp.,CADORE-03,"188,38",,"1,42",MET,498,58013200,T 41 C,EASY CLEAN
02963,Imp.,FARINA-25,"174,57",,"1,42",MET,540,54075300,T 41 B,EASY CLEAN
02964,Imp.,ORIGINE-100,"276,28",,"1,42",MET,710,54079300,T 41 A,EASY CLEAN
02965,Imp.,PECORA-100,"235,44",,"1,42",MET,625,58013600,T 41 A,EASY CLEAN
02966,Imp.,TREVISO-100,"133,46",,"1,45",MET,494,58013600,T 41 A,EASY CLEAN
02967,Nac.,VEREDA,"186,79",,"1,40",MET,780,52091900,T 42 ORIGEM,
02968,Nac.,RAIZ,"123,83",,"1,40",MET,620,52091900,T 42 ORIGEM,
Código,Orig.,Descrição,R$,Sit.,Larg.,Und.,G/ml,NCM,Catálogo,Acabamento
02970,Nac.,LITORAL,"165,81",,"1,40",MET,600,52091900,T 42 ORIGEM,
02971,Nac.,HORIZONTE,"216,98",,"1,40",MET,1100,52091900,T 42 ORIGEM,
02972,Nac.,CERRADO,"190,10",,"1,40",MET,860,52091900,T 42 ORIGEM,
02973,Nac.,ESTIO,"190,10",,"1,40",MET,860,52091900,T 42 ORIGEM,
02974,Imp.,LINHO PURO DUBLIN CRU NATURAL,"406,22",,"1,40",MET,560,,LENÇO,PRÉ ENCOLHIDO
02975,Imp.,LINHO PURO DUBLIN MARFIL,"451,12",,"1,40",MET,560,,LENÇO,PRÉ ENCOLHIDO
02976,Imp.,LINHO PURO GALLES CRU NATURAL,"493,69",,"1,40",MET,686,,LENÇO,PRÉ ENCOLHIDO
02977,Imp.,LINHO PURO GALLES CRU NATURAL,"533,29",,"1,40",MET,686,,LENÇO,PRÉ ENCOLHIDO
02978,Nac.,JACQUARD TARTAN RAFIA,"158,18",,"1,40",MET,530,52094900,T 43 TISSAGE,
02979,Nac.,JACQUARD VICHY RAFIA,"158,18",,"1,40",MET,530,52094900,T 43 TISSAGE,
02980,Nac.,JACQUARD CARREAU RAFIA,"165,21",,"1,40",MET,530,52094900,T 43 TISSAGE,
02981,Nac.,JACQUARD COLONNE RAFIA,"163,45",,"1,40",MET,530,52094900,T 43 TISSAGE,
02982,Nac.,JACQUARD REGATA RAFIA,"164,33",,"1,40",MET,530,52094900,T 43 TISSAGE,
02983,Nac.,JACQUARD QUADRANT RAFIA,"164,33",,"1,40",MET,530,52094900,T 43 TISSAGE,
02984,Nac.,JACQUARD BRUT RAFIA,"182,64",,"1,40",MET,715,52114900,T 43 TISSAGE,
02985,Nac.,RATIER CANVA  RAFIA,"168,47",,"1,40",MET,697,52114900,T 43 TISSAGE,
02986,Nac.,JACQUARD MICRO GRID RAFIA,"193,10",,"1,40",MET,777,52114900,T 43 TISSAGE,
02988,Nac.,JACQUARD PETIT CARREAU RAFIA,"169,60",,"1,40",MET,530,52094900,T 43 TISSAGE,
02991,Imp.,ALBA,"161,12",,"1,42",MET,752,54075900,T 44 A TEXTURAS II,
02992,Imp.,AMSTERDÂ,"111,54",,"1,42",MET,582,58013600,T 44 A TEXTURAS II,REPELENTE A LIQUIDOS
02993,Imp.,AXEL MÁRMORE,"182,81",,"1,37",MET,479,60019200,T 44 A TEXTURAS II,DEKOR CLEAN
02994,Imp.,BALK,"229,29",,"1,45",MET,826,55151200,T 44 B TEXTURAS II,
02994,Imp.,BALK DESERTO,"229,29",,"1,45",MET,826,55151200,T 44 A TEXTURAS II,
02995,Imp.,BRIELLE NEVADA,"181,02",,"1,40",MET,665,54079300,T 44 A TEXTURAS II,
02996,Imp.,CAMPÂNIA,"220,15",,"1,43",MET,786,58013600,T 44 A TEXTURAS II,
02997,Imp.,HOLANDA,"131,31",,"1,44",MET,536,58013600,T 44 B TEXTURAS II,DEKOR CLEAN
02998,Imp.,GOTT,"116,39",,"1,44",MET,561,54075300,T 44 B TEXTURAS II,REPELENTE A LIQUIDOS
02999,Imp.,GROU,"250,80",,"1,40",MET,868,60019200,T 44 A TEXTURAS II,
03000,Imp.,EVIAN,"185,74",,"1,42",MET,710,54076900,T 44 A TEXTURAS II,
03001,Imp.,KLAS,"182,65",,"1,42",MET,724,58013600,T 44 A TEXTURAS II,
03002,Imp.,LISSE TIRAMISU,"85,62",,"1,42",MET,369,60019200,T 44 B TEXTURAS II,DEKOR CLEAN
03003,Imp.,LIV,"74,20",,"1,44",MET,432,54075300,T 44 A TEXTURAS II,REPELENTE A LIQUIDOS
03004,Imp.,MANI MARFIM,"185,74",,"1,43",MET,750,58013600,T 44 B TEXTURAS II,
03005,Imp.,NARVIK NATURAL,"163,57",,"1,40",MET,742,54076900,T 44 A TEXTURAS II,
03006,Imp.,NORG MADREPÉROLA,"315,06",,"1,40",MET,840,58013600,T 44 A TEXTURAS II,
03007,Imp.,PIED DE POULE OSTRA,"214,28",,"1,45",MET,797,55151200,T 44 B TEXTURAS II,
03008,Imp.,SICILIA,"72,08",,"1,45",MET,377,54075300,T 44 B TEXTURAS II,REPELENTE A LIQUIDOS
Código,Orig.,Descrição,R$,Sit.,Larg.,Und.,G/ml,NCM,Catálogo,Acabamento
03010,Imp.,BOLOGNA 06,"240,66",,"1,45",PC,609,54077300,T 45 OUTDOOR,REPELENTE A LIQUIDOS
03011,Imp.,MALAGA 04,"151,98",,"1,45",MET,330,54077300,T 45 OUTDOOR,REPELENTE A LIQUIDOS
03012,Imp.,VALENCIA 04,"146,37",,"1,45",MET,301,54077300,T 45 OUTDOOR,REPELENTE A LIQUIDOS
03013,Imp.,ALICANTE 01,"282,83",,"1,45",MET,672,54077300,T 45 OUTDOOR,REPELENTE A LIQUIDOS
03014,Imp.,TRELLIS 04,"282,83",,"1,45",MET,756,54077300,T 45 OUTDOOR,REPELENTE A LIQUIDOS
03016,Imp.,MARBELLA 04,"296,25",,"1,45",MET,740,54077300,T 45 OUTDOOR,REPELENTE A LIQUIDOS
03017,Imp.,RIVIERA 04 - FENDI,"272,20",,"1,45",MET,638,54077300,T 45 OUTDOOR,REPELENTE A LIQUIDOS
03018,Imp.,BRISA 04,"245,89",,"1,45",MET,546,54077300,T 45 OUTDOOR,REPELENTE A LIQUIDOS
03019,Imp.,CAPRI 06,"185,56",,"1,45",MET,290,54077300,T 45 OUTDOOR,REPELENTE A LIQUIDOS
