Parcelamento
"30/60 DD acima de R$ 600,00"
"30/60/90 DD acima de R$ 900,00"
"30/60/90/120 DD acima de R$ 1.200,00"
Código,Orig.,Descrição,R$,Sit.,Larg.,Und.,G/ml,NCM,Catálogo,Acabamento
02338 - 002,Imp.,BLACK OUT 100% MARFIM,"76,48",SC,"2,80",MET,700,59031000,C 09 2024,LAVAVEL
02338 - 003,Imp.,BLACK OUT 100% CINZA,"76,48",SC,"2,80",MET,700,59031000,C 09 2024,LAVAVEL
02341 - 003,Nac.,VOIL SIENA,"27,79",SC,"3,00",MET,210,54075210,C 09 2022,
02346,Imp.,LINHO MISTO ROMA,"214,43",,"2,80",MET,910,55169300,C 11 2026 GENTILE,
02347 - 004,Imp.,RUSTICO BARCELONA CINZA NIQUEL,"65,31",SC,"3,00",MET,420,54076100,C 09 2024,
02348 - 004,Imp.,RUSTICO LONDRES BEGE,"60,53",SC,"3,00",MET,300,54076100,C 09 2024,
02348 - 005,Imp.,RUSTICO CORTINA LONDRES,"60,53",SC,"3,00",MET,300,54076100,C 09 2021,
02349,Imp.,RUSTICO MADRI,"74,12",,"3,00",MET,420,54076100,C 11 2026 GENTILE,
02351 - 001,Nac.,SARJA CENTAURO  PELETIZADA,"72,50",,"1,60",MET,315,52082300,S 07,PELETIZADO
02351 - 002,Nac.,SARJA CENTAURO  PELETIZADA,"67,94",,"1,60",MET,315,52082300,S 07,PELETIZADO
02351 - 003,Nac.,SARJA CENTAURO  PELETIZADA,"72,50",,"1,60",MET,315,52082300,S 07,PELETIZADO
02351 - 005,Nac.,SARJA CENTAURO  PELETIZADA,"72,50",,"1,60",MET,315,52083300,S 07,PELETIZADO
02351 - 011,Nac.,SARJA CENTAURO  PELETIZADA,"72,50",,"1,60",MET,315,52083300,S 07,PELETIZADO
02351 - 013,Nac.,SARJA CENTAURO  PELETIZADA,"72,50",,"1,60",MET,315,52083300,S 07,PELETIZADO
02351 - 022,Nac.,SARJA CENTAURO  PELETIZADA,"72,50",,"1,60",MET,315,52083300,S 07,PELETIZADO
Código,Orig.,Descrição,R$,Sit.,Larg.,Und.,G/ml,NCM,Catálogo,Acabamento
02351 - 055,Nac.,SARJA CENTAURO  PELETIZADA,"72,50",,"1,60",MET,315,52083300,S 07,PELETIZADO
02351 - 056,Nac.,SARJA CENTAURO  PELETIZADA,"72,50",SC,"1,60",MET,315,52083300,S 05,PELETIZADO
02351 - 057,Nac.,SARJA CENTAURO  PELETIZADA,"72,50",SC,"1,60",MET,315,52083300,S 05,PELETIZADO
02351 - 058,Nac.,SARJA CENTAURO  PELETIZADA,"72,50",,"1,60",MET,315,52083300,S 07,PELETIZADO
02351 - 061,Nac.,SARJA CENTAURO  PELETIZADA,"72,50",,"1,60",MET,315,52083300,S 07,PELETIZADO
02351 - 064,Nac.,SARJA CENTAURO  PELETIZADA,"72,50",SC,"1,60",MET,315,52083300,S 05,PELETIZADO
02351 - 066,Nac.,SARJA CENTAURO  PELETIZADA,"72,50",SC,"1,60",MET,315,52083300,S 06,PELETIZADO
02351 - 068,Nac.,SARJA CENTAURO  PELETIZADA,"72,50",,"1,60",MET,315,52083300,S 07,PELETIZADO
02351 - 069,Nac.,SARJA CENTAURO  PELETIZADA,"72,50",,"1,60",MET,315,52083300,S 07,PELETIZADO
02353,Imp.,FORRO MICRO FIBRA PESADO,"30,25",,"3,00",MET,345,54075210,2353 HANGER MICRO PS,
02362 - 001,Imp.,RUSTICO AKITA,"108,54",SC,"1,45",MET,507,54075300,T 35 TEXTURA I,REPELENTE A LIQUIDOS
02363 - 003,Imp.,RUSTICO OSAKA,"31,56",SC,"1,45",MET,520,54079300,T 21,REPELENTE A LIQUIDOS
02364 - 004,Imp.,RUSTICO SHIMA EUCALIPO,"32,37",SC,"1,45",MET,450,54075300,T 21,REPELENTE A LIQUIDOS
02367 - 001,Imp.,RUSTICO TEXTURA,"72,39",SC,"1,40",MET,360,54075300,T 22,
02367 - 002,Imp.,RUSTICO TEXTURA,"72,39",SC,"1,40",MET,360,54075300,T 22,
02369 - 001,Imp.,CAMURÇA MICHIGAN,"83,17",SC,"1,40",MET,470,60019200,T 22,
02369 - 002,Imp.,CAMURÇA MICHIGAN,"83,17",SC,"1,40",MET,470,60019200,T 22,
02371 - 001,Imp.,CAMURÇA PRINT I,"26,54",SC,"1,40",MET,316,60019200,T 22,
02371 - 004,Imp.,CAMURÇA PRINT I,"26,54",SC,"1,40",MET,316,60019200,T 22,
02373 - 005,Imp.,CAMURÇA MONTENEGRO,"26,54",SC,"1,40",MET,336,60019200,T 22,
02374 - 002,Imp.,CAMURÇA DAMASCO,"26,54",SC,"1,40",MET,358,60019200,T 22,
02380 - 004,Imp.,CAMURÇA KOURO,"46,84",SC,"1,40",MET,400,60053900,T 21,
02388 - 006,Imp.,CAMURÇA LASAR,"22,09",SC,"1,40",MET,280,60019200,T 22,
02391,Imp.,PANAMA SOFT TOUCH,"91,00",,"1,40",MET,530,58013300,T 40 ATLAS,
02392,Imp.,SEVILHA,"101,30",,"1,40",MET,555,54075210,T 40 ATLAS,
02392 - 006,Imp.,RUSTICO VINI,"101,30",SC,"1,40",MET,555,5408,T 32 SLIM,
02395,Imp.,PANAMA SHUBERT,"98,61",,"1,40",MET,570,54075210,T 32 SLIM,
02396 - 005,Imp.,TELA NATURALE,"32,37",SC,"1,40",MET,303,54075300,T 22,
02398 - 004,Imp.,CAMURÇA ITALIAN,"36,89",SC,"1,40",MET,360,60019200,T 22,
02399 - 005,Imp.,VELO ITALIAN,"25,24",SC,"1,40",MET,360,60019200,T 22,
02399 - 007,Imp.,VELO ITALIAN,"25,24",SC,"1,40",MET,360,60019200,T 22,
02400 - 004,Nac.,BARCELONA SOFT,"65,87",SC,"1,40",MET,354,52111200,T 22,
02402 - 002,Nac.,PANAMA SOFT,"63,43",SC,"1,40",MET,320,52094900,T 22,
02403 - 004,Nac.,LONITA PLURI,"47,82",SC,"1,40",MET,394,52114100,T 22,
02405 - 002,Nac.,RUSTICO SOFT SEVILHA,"47,82",SC,"1,40",MET,452,54078300,T 22,
02407 - 003,Nac.,RUSTICO SOFT PARMA,"47,82",SC,"1,40",MET,402,52094900,T 22,
02408 - 002,Nac.,RUSTICO SOFT PARLETTO,"47,82",SC,"1,40",MET,390,54075300,T 21,
Código,Orig.,Descrição,R$,Sit.,Larg.,Und.,G/ml,NCM,Catálogo,Acabamento
02417 - 003,Nac.,RUSTICO CENTAURO,"47,82",SC,"1,40",MET,439,52094900,T 21,
02421,Imp.,VELUDO BELGICA,"60,54",,"2,80",MET,616,60019200,2421 HANGER VELUDO,
02422,Nac.,COLMEIA HOSPITALAR 60 CM DE LARGURA,"36,21",,"0,60",MET,60,54071019,HANGER,
02423,Nac.,COLMEIA HOSPITALAR 90 CM DE LARGURA,"50,68",,"0,90",MET,60,54071019,HANGER,
02427 - 001,Nac.,GIRO MOSELA,"29,11",SC,"3,00",MET,260,52105990,C 10,
02434,Nac.,CAMBRAIA BELGICA,"547,07",,"3,00",MET,450,53092900,C 10,PRÉ ENCOLHIDO
02435,Nac.,LINO PURE BRANCO,"283,03",,"3,00",MET,290,53092900,2435 HANGER L P,PRÉ ENCOLHIDO
02436,Nac.,GAZE GOLDEN NATURAL,"215,71",,"3,00",MET,450,53092900,C 10,PRÉ ENCOLHIDO
02437,Nac.,LINHO CHEZZ BRANCO,"547,07",,"3,00",MET,470,53092900,C 10,PRÉ ENCOLHIDO
02438 - 002,Nac.,TAFETA CRONOS 224,"29,92",SC,"3,00",MET,335,54079100,C 10,
02439 - 003,Nac.,VAZADO  KAPUAS,"44,40",SC,"1,40",MET,200,58109900,C 10,
02440 - 001,Nac.,BORDADO SIAK,"44,40",SC,"1,40",MET,220,58109900,C 10,
02442,Nac.,CROCHE TAWI,"199,27",,"1,40",MET,500,58109900,C 11 2026 GENTILE,
02442 - 001,Nac.,CROCHE TAWI,"199,27",SC,"1,40",MET,500,58109900,C 10,
02442 - 004,Nac.,CROCHE TAWI,"199,27",SC,"1,40",MET,500,58109900,C 10,
02442 - 005,Nac.,CROCHE TAWI,"199,27",SC,"1,40",MET,500,58109900,C 10,
